region_code,gss_code,ons_letter,nuts1_code,region_name,notes
NORTHEAST,E12000001,A,UKC,North East,
NORTHWEST,E12000002,B,UKD,North West,
YORKHUMB,E12000003,D,UKE,Yorkshire and the Humber,
EASTMID,E12000004,E,UKF,East Midlands,
WESTMID,E12000005,F,UKG,West Midlands,
EAST,E12000006,G,UKH,East of England,
LONDON,E12000007,H,UKI,London,
SOUTHEAST,E12000008,J,UKJ,South East,
SOUTHWEST,E12000009,K,UKK,South West,
NI,N92000002,,,Northern Ireland,country
GGY,,,,Guernsey,
IMN,,,,Isle of Man,
JEY,,,,Jersey,
WALES,W92000004,,,Wales,country
SCOT,S92000003,,,Scotland,country
,E92000001,,,England,country
,K02000001,,,United Kingdom,cross border area
,K03000001,,,Great Britain,cross border area
,K04000001,,,England and Wales,cross border area
